timestamp,open,high,low,close,volume
2018-01-26 14:01:00,104.1100,104.1200,104.1000,104.1200,1019
2018-01-26 14:00:00,104.1900,104.1900,104.0900,104.1200,2539
2018-01-26 13:59:00,104.1500,104.1671,104.1500,104.1671,506
2018-01-26 13:58:00,104.0400,104.1600,104.0400,104.1114,4041
2018-01-26 13:57:00,104.0350,104.0500,104.0200,104.0400,4170
2018-01-26 13:56:00,104.0400,104.0400,104.0200,104.0200,1400
2018-01-26 13:55:00,104.0700,104.0700,104.0400,104.0400,1206
2018-01-26 13:54:00,104.1200,104.1300,104.0700,104.0700,2900
2018-01-26 13:53:00,104.1000,104.1000,104.0700,104.1000,2856
2018-01-26 13:52:00,104.1000,104.1400,104.0600,104.0600,7386
2018-01-26 13:51:00,104.1050,104.1200,104.0900,104.1000,8854
2018-01-26 13:50:00,104.1000,104.1200,104.0900,104.1000,2800
2018-01-26 13:49:00,104.0400,104.1200,104.0400,104.0900,24000
2018-01-26 13:48:00,104.0000,104.0200,103.9800,104.0150,3500
2018-01-26 13:47:00,104.0000,104.0000,103.9600,104.0000,2742
2018-01-26 13:46:00,104.0094,104.0094,104.0094,104.0094,100
2018-01-26 13:45:00,104.0200,104.0400,104.0100,104.0100,2200
2018-01-26 13:44:00,104.0300,104.0500,104.0300,104.0400,2100
2018-01-26 13:43:00,104.0400,104.0500,104.0300,104.0300,800
2018-01-26 13:42:00,104.0400,104.0400,104.0200,104.0300,900
2018-01-26 13:40:00,104.0400,104.0400,104.0300,104.0300,1320
2018-01-26 13:39:00,104.0202,104.0600,104.0200,104.0600,1979
2018-01-26 13:38:00,104.0300,104.0300,104.0027,104.0027,246
2018-01-26 13:37:00,104.0200,104.0450,104.0100,104.0300,2673
2018-01-26 13:36:00,104.0000,104.0100,104.0000,104.0100,380
2018-01-26 13:35:00,103.9100,103.9950,103.8900,103.9950,2768
2018-01-26 13:34:00,103.9200,103.9200,103.9010,103.9010,600
2018-01-26 13:33:00,103.8882,103.9200,103.8882,103.9200,1529
2018-01-26 13:32:00,103.8800,103.9200,103.8700,103.8900,9100
2018-01-26 13:31:00,103.9100,103.9100,103.8900,103.8900,800
2018-01-26 13:30:00,103.9500,103.9800,103.9100,103.9100,85000
2018-01-26 13:29:00,103.9300,103.9490,103.9150,103.9490,2700
2018-01-26 13:28:00,103.9400,103.9600,103.9300,103.9600,1500
2018-01-26 13:27:00,103.9500,103.9600,103.9500,103.9500,1009
2018-01-26 13:26:00,103.9450,103.9450,103.9300,103.9300,1100
2018-01-26 13:25:00,103.9300,103.9500,103.9250,103.9400,1900
2018-01-26 13:24:00,103.9900,103.9900,103.9400,103.9400,1642
2018-01-26 13:23:00,104.0000,104.0300,103.9850,104.0000,2843
2018-01-26 13:22:00,103.9900,103.9903,103.9900,103.9903,200
2018-01-26 13:21:00,103.9500,103.9900,103.9350,103.9900,8300
2018-01-26 13:20:00,103.9500,103.9500,103.9400,103.9400,700
2018-01-26 13:19:00,103.9650,103.9650,103.9650,103.9650,100
2018-01-26 13:18:00,103.9400,103.9500,103.9300,103.9400,2494
2018-01-26 13:17:00,103.9400,103.9500,103.9400,103.9500,600
2018-01-26 13:16:00,103.9200,103.9500,103.9100,103.9300,5439
2018-01-26 13:15:00,103.9100,103.9100,103.9000,103.9100,300
2018-01-26 13:13:00,103.9200,103.9200,103.9000,103.9100,3177
2018-01-26 13:12:00,103.9350,103.9350,103.9201,103.9201,250
2018-01-26 13:11:00,103.9250,103.9400,103.9250,103.9300,1200
